Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
198,GAVIN GOBLE,0119,03:55:46,03:53:00,VM40-49,53,M,177,view
199,PETER DAVIDSON,0076,03:55:50,03:55:11,VM50-59,18,M,178,view
200,JIM BLISS,0026,03:56:26,03:55:25,VM40-49,54,M,179,view
201,IAN MCNABB,0404,03:57:07,03:54:04,VM50-59,19,M,180,view
202,GREG ROADLEY,0268,03:57:10,03:55:39,M20-39,100,M,181,view
203,HEATHER MCCURDY,0201,03:57:27,03:55:38,W20-39,13,F,22,view
204,CAMERON SCOTT,0279,03:57:35,03:55:38,M20-39,101,M,182,view
205,LEILA FERGUSON,0100,03:57:47,03:55:29,W20-39,14,F,23,view
206,SCOTT ALDRIDGE,0006,03:58:00,03:57:46,M20-39,102,M,183,view
207,MAXIME SIXDENIERS,0290,03:58:04,03:55:34,M20-39,103,M,184,view
208,MARKETA BLAZKOVA,0025,03:58:24,03:56:31,W20-39,15,F,24,view
209,ANGUS WALKER,0325,03:58:52,03:57:39,M20-39,104,M,185,view
210,MICHAEL ROBERTS,0402,03:59:14,03:55:57,M20-39,105,M,186,view
211,TOMAS JORDAN,0368,03:59:22,03:58:15,M20-39,106,M,187,view
212,NEIL HELLEWELL,0145,04:00:08,03:58:41,M20-39,107,M,188,view
213,FLETCHER COLEMAN,0064,04:00:15,03:58:52,VM40-49,55,M,189,view
214,MICHAEL BOOMER,0028,04:00:23,03:58:34,VM40-49,56,M,190,view
215,LUCY CRIGHTON,0074,04:00:27,03:58:59,W20-39,16,F,25,view
216,STEPHEN TIPPEN,0317,04:00:33,03:59:41,M20-39,108,M,191,view
217,GUSTAV SJOHOLM,0291,04:00:57,03:59:39,M20-39,109,M,192,view
218,MARK HUNTER,0123,04:01:02,04:00:21,M20-39,110,M,193,view
219,PHILIPPE APPARICIO,0013,04:01:14,03:59:13,M20-39,111,M,194,view
220,DONALD HANSON,0137,04:01:18,03:59:39,M20-39,112,M,195,view
221,CARLA HENDERSON,0147,04:01:21,03:59:24,W20-39,17,F,26,view
222,DHIRAJA BURGESS,0041,04:02:31,04:00:44,VM40-49,57,M,196,view
