Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
DNS,DAN ANDREW,9377,,NZL,50-54,,Male,
DNS,SHANE GOODHEW (#),,,AUS,35-39,,Male,
DNS,ASHLEY THEW,9374,,AUS,20-34,,Female,
DNS,CHRISTIANA WILLIAMS,9038,,,70-74,,Female,
DNS,JUSTINE BISHOP,9152,,NZL,35-39,,Female,
DNS,NIC HANNA,9142,,NZL,45-49,,Female,
DNS,HELENA MARTIN,9154,,NZL,55-59,,Female,
DNS,DEMELZA CHALLIES-KOLK,9035,,NZL,45-49,,Female,
DNS,SHAYLEE CREIGHTON,9355,,NZL,20-34,,Female,
DNS,CINDY 'AHOAFI,9149,,NZL,50-54,,Female,
DNS,KATHRYN FORWOOD,9153,,NZL,40-44,,Female,
DNS,TU WILLIAMS,9350,,NZL,45-49,,Male,
DNS,FRANCIS CAMP,9095,,NZL,50-54,,Female,
DNS,ELISABETH LUM,9107,,NZL,40-44,,Female,
DNS,DEB SMITH,9116,,NZL,55-59,,Female,
DNS,ISOBEL CARPENTER,9112,,USA,18-19,,Female,
DNS,LIZ GIBBS,9104,,NZL,60-64,,Female,
DNS,SON TUNG NGUYEN,9044,,,16-17,,Male,
DNS,DANIEL MIGUEL,7213,,AUS,20-34,,Male,
DNS,CHRISTINE FISK,9369,,NZL,35-39,,Female,
DNS,HUDSON RIDOUTT,9271,,AUS,20-34,,Male,
DNS,JOSEPH ALIBRANDI (#),,,AUS,20-34,,Male,
DNS,THI BICH LIEN NGUYEN,9102,,,50-54,,Female,
DNS,SARAH HALL,9195,,GBR,20-34,,Male,
DNS,AMY GOSSELIN,9100,,CAN,45-49,,Female,
DNS,FIDYA RIZKY,7640,,NZL,35-39,,Female,
