Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position,Run
283,AMANDA JAYNE GREEN,1066,31:05:57,NZL,30-39,21,Female,68,31:05:27
284,JAKE CLEINE,1426,31:12:11,AUS,30-39,69,Male,216,31:12:01
285,DAVE CAMPBELL,1308,31:12:39,AUS,40-49,80,Male,217,31:12:03
286,TOM HIRST,1077,31:15:43,NZL,50-59,38,Male,218,31:15:00
287,WILLIAM GRAF,1064,31:16:54,NZL,50-59,39,Male,219,31:16:09
288,ANNE BENNETT,1298,31:17:54,AUS,50-59,13,Female,69,31:17:04
289,MATTY LANE,1439,31:19:50,NZL,30-39,70,Male,220,31:19:09
290,PENNY KOROI,1101,31:19:57,NZL,40-49,29,Female,70,31:19:35
291,JUNYA OGINO,1445,31:27:30,JPN,50-59,40,Male,221,31:27:16
292,RAY HAYNES,1073,31:27:59,USA,50-59,41,Male,222,31:27:20
293,AMANDA HAYNES,1252,31:27:59,USA,30-39,22,Female,71,31:27:21
294,JON HARDIE,1338,31:34:14,GBR,18-29,22,Male,223,31:33:56
295,RYAN GONZAGA,1058,31:35:02,PHL,30-39,71,Male,224,31:34:29
296,SUE HUNTER,1082,31:36:18,NZL,40-49,30,Female,72,31:35:52
297,ANDREW FLETCHER,1474,31:38:42,NZL,30-39,72,Male,225,31:37:54
298,BRAD HARRIS,1480,31:38:42,NZL,30-39,73,Male,226,31:37:53
299,CRAIG WATSON,1519,31:42:41,AUS,40-49,81,Male,227,31:41:51
300,TIWANA RARERE,1273,31:51:33,NZL,30-39,74,Male,228,31:51:18
301,JOHN HERZFELD,1075,31:51:34,AUS,60-69,10,Male,229,31:50:47
302,SHARON DONOGHUE,1320,31:52:10,AUS,50-59,14,Female,73,31:51:40
303,FIONA HADDY,1067,31:52:10,AUS,60-69,4,Female,74,31:51:40
304,SUZANNE WILSON,1420,31:52:38,AUS,40-49,31,Female,75,31:51:47
305,GEORGE LITTLEJOHN,1108,32:01:23,NZL,18-29,23,Male,230,32:01:03
306,EMARI ISHIKAWA,1348,32:02:58,JPN,50-59,15,Female,76,32:02:48
307,FABIANO PETRONI,1388,32:03:24,NZL,40-49,82,Male,231,32:02:45
308,PAUL WILSON,1419,32:05:17,AUS,30-39,75,Male,232,32:04:38
309,MARK O'SULLIVAN,1143,32:07:19,NZL,50-59,42,Male,233,32:06:19
310,ZENY HEFFERNAN,1342,32:07:35,AUS,50-59,16,Female,77,32:07:11
311,AARON WILKS,1522,32:12:51,NZL,40-49,83,Male,234,32:12:16
312,DAVID TILLER,1189,32:16:56,AUS,50-59,43,Male,235,32:16:10
313,JULIAN PROCACCINI,1272,32:19:15,NZL,30-39,76,Male,236,32:18:32
314,CHRIS HAAR,1249,32:19:16,NZL,40-49,84,Male,237,32:18:31
315,DONNA DAVIS,1530,32:22:15,AUS,40-49,32,Female,78,32:21:22
316,TROY KLOSE,1533,32:22:16,AUS,40-49,85,Male,238,32:21:21
317,RAECHEL KEEPA,1552,32:30:42,NZL,50-59,17,Female,79,32:30:28
318,STEFßN BRAGI BJARNASON,1301,32:31:26,ISL,50-59,44,Male,239,32:31:20
319,GERRY FITZGERALD,1244,32:36:35,NZL,60-69,11,Male,240,32:35:43
320,ELENA KIM,1097,32:37:15,NZL,30-39,23,Female,80,32:36:19
321,DAVE KELLER,1094,32:44:55,NZL,40-49,86,Male,241,32:44:37
322,SUSAN DONNELLY,1319,32:52:25,USA,50-59,18,Female,81,32:52:01
323,KRIS RYAN,1163,32:52:28,AUS,40-49,33,Female,82,32:51:58
324,MATTHEW WHITTAKER,1453,32:59:15,NZL,50-59,45,Male,242,32:58:34
325,KAYE KING,1099,32:59:41,NZL,60-69,5,Female,83,0:00:00
326,DARREN RUDD,1162,33:02:03,NZL,50-59,46,Male,243,33:01:05
327,JOHN BENSON,1014,33:02:04,NZL,50-59,47,Male,244,33:01:06
328,JEROME RUKUWAI,1396,33:08:55,NZL,30-39,77,Male,245,33:08:32
329,TONY COKER,1029,33:08:55,NZL,30-39,78,Male,246,33:08:33
330,JONATHAN I'IGA,1347,33:12:35,NZL,40-49,87,Male,247,33:11:35
331,MARK ROBINSON,1157,33:16:16,NZL,30-39,79,Male,248,33:15:54
332,CHERYL WALKER,1516,33:24:43,NZL,40-49,34,Female,84,33:24:32
333,SUE MELTZER,1124,33:27:33,NZL,60-69,6,Female,85,33:26:47
334,SCOTT HANSEN,1070,33:28:10,NZL,30-39,80,Male,249,33:27:51
335,LEANNE KROON,1355,33:50:32,AUS,40-49,35,Female,86,0:00:00
336,HELEN SHANLEY,1166,34:01:34,NZL,50-59,19,Female,87,34:00:51
337,ARWEL THOMAS,1188,34:01:34,NZL,50-59,48,Male,250,34:00:51
338,KERRY CLAPHAM,1467,34:11:51,AUS,60-69,12,Male,251,34:11:18
339,LAURIE WILSON,1204,34:15:57,NZL,50-59,20,Female,88,34:15:05
340,GEOFFREY BILLING,1461,34:18:49,NZL,40-49,88,Male,252,34:18:17
341,JEFF SMITH,1551,34:20:14,NZL,50-59,49,Male,253,34:19:25
342,ROB EDKINS,1042,34:22:52,NZL,60-69,13,Male,254,34:22:11
343,GLENN WINGATE,1556,34:30:26,NZL,40-49,89,Male,255,34:29:34
344,DAVE BYRNE,1025,34:34:20,NZL,30-39,81,Male,256,34:33:22
345,GAVIN CALNAN,1233,34:49:58,AUS,30-39,82,Male,257,34:49:25
346,DREW NELSON,1497,34:49:58,AUS,30-39,83,Male,258,34:49:19
347,LUANNA GEORGE,1053,34:58:44,NZL,50-59,21,Female,89,34:58:32
348,STEPHEN ORGAN,1376,35:06:19,GBR,40-49,90,Male,259,35:05:53
349,SUE BYERS,1024,35:07:48,NZL,60-69,7,Female,90,35:07:35
350,ANDREW ROBINS,1155,35:23:29,NZL,18-29,24,Male,260,35:22:53
351,TANYA JENEY,1349,35:29:40,AUS,40-49,36,Female,91,35:29:18
352,DAURISME VERDEJA,1408,35:33:41,DMA,30-39,24,Female,92,35:33:36
353,PATRICIA STICHBURY,1179,35:34:27,NZL,60-69,8,Female,93,35:33:34
DNS,RAGNA DEBATS,13,,NLD,40-49,,Female,,
DNS,PAUL BERNARD,1015,,AUS,50-59,,Male,,
DNS,ANGE CHAMPION,1028,,AUS,50-59,,Female,,
DNS,KELLI CULVER,1032,,NZL,40-49,,Female,,
DNS,DEON DE CLERCQ,1034,,NZL,50-59,,Male,,
DNS,KERI DEVINE,1037,,NZL,50-59,,Female,,
DNS,ANDREW (JANDALMAN) FIFITA-LAMB,1047,,TON,50-59,,Male,,
DNS,JESPER FUHLENDORFF,1050,,DNK,50-59,,Male,,
DNS,PATRICK GALVIN,1051,,IRL,30-39,,Male,,
DNS,SEBASTIAN GOWER,1062,,NZL,18-29,,Male,,
DNS,SAM HULBERT,1081,,NZL,18-29,,Male,,
DNS,MICHAEL HURLEY,1083,,AUS,40-49,,Male,,
DNS,MALCOLM JACKSON,1085,,NZL,40-49,,Male,,
DNS,SARA KATO,1091,,JPN,18-29,,Female,,
DNS,STEVEN KENT,1096,,NZL,50-59,,Male,,
DNS,NEIL KRAAKMAN,1103,,NZL,50-59,,Male,,
DNS,CHRISTIAN LOESCHEL,1111,,DEU,40-49,,Male,,
DNS,SAM MCNULTY,1119,,AUS,50-59,,Female,,
DNS,MITSUO MORIYA,1130,,JPN,40-49,,Male,,
DNS,NGAIRE OLEARY,1142,,NZL,50-59,,Female,,
DNS,KARLYN ROGERS,1161,,AUS,30-39,,Female,,
DNS,GRETCHEN SMITH,1173,,AUS,30-39,,Female,,
DNS,CLIVE START,1177,,NZL,60-69,,Male,,
DNS,YUSUKE TAKAHASHI,1185,,JPN,40-49,,Male,,
DNS,NATACHA TAN,1187,,AUS,40-49,,Female,,
DNS,CHRIS WILSON,1205,,NZL,40-49,,Male,,
DNS,SHANE WINZAR,1207,,AUS,40-49,,Male,,
DNS,RUBERT WOLFF,1208,,ZAF,40-49,,Male,,
DNS,?? ??,1215,,JPN,50-59,,Male,,
DNS,BRETT ANDERSON,1219,,NZL,50-59,,Male,,
DNS,SIMON BLACK,1226,,AUS,40-49,,Male,,
DNS,MICHAEL BRABANT,1228,,NZL,30-39,,Male,,
DNS,REBECCA BUTLER,1232,,AUS,50-59,,Female,,
DNS,LUKE CROSSLING,1237,,AUS,40-49,,Male,,
DNS,THOMAS FOWLER,1246,,AUS,30-39,,Male,,
DNS,JOSHUA GIBBS,1247,,AUS,30-39,,Male,,
DNS,JOE HARVEY,1251,,AUS,40-49,,Male,,
DNS,DANIEL HORGAN,1254,,NZL,18-29,,Male,,
DNS,BRIAN KNOWLES,1258,,AUS,50-59,,Male,,
DNS,DAVID MOLNAR,1265,,NZL,30-39,,Male,,
DNS,IAN ROGERS,1275,,AUS,60-69,,Male,,
DNS,ANDY TAYLOR,1279,,NZL,40-49,,Male,,
DNS,JAYDEN AUSTIN,1293,,NZL,18-29,,Male,,
DNS,NEIL CHARMAN,1311,,AUS,18-29,,Male,,
DNS,AARON FLEISHER,1322,,USA,40-49,,Male,,
DNS,SAMUEL HANSBY,1337,,NZL,30-39,,Male,,
DNS,AMY HOWSE,1345,,NZL,40-49,,Female,,
DNS,ALEX LEE,1359,,AUS,30-39,,Male,,
DNS,JOHN MINKEMA,1365,,USA,40-49,,Male,,
DNS,ADAM SHEPPARD,1449,,NZL,30-39,,Male,,
DNS,NICK BARLOW,1455,,AUS,50-59,,Male,,
DNS,ASHLEY BARTHOLOMEW,1458,,AUS,60-69,,Male,,
DNS,KEN BENSON,1459,,AUS,50-59,,Male,,
DNS,MARC ANTHONY BORLAS,1463,,PHL,40-49,,Male,,
DNS,DAMIAN ESAU,1470,,NZL,30-39,,Male,,
DNS,LLOYD EVANS,1471,,AUS,30-39,,Male,,
DNS,SIMON HAMILTON,1478,,AUS,50-59,,Male,,
DNS,CLAIRE HESLOP,1481,,CAN,40-49,,Female,,
DNS,NICOLE KRUSE,1486,,AUS,40-49,,Female,,
DNS,PIERRE-EMMANUEL LORIGUET,1488,,FRA,50-59,,Male,,
DNS,DAVID MCATEER,1491,,NZL,30-39,,Male,,
DNS,PETER MCHANNIGAN,1493,,NZL,50-59,,Male,,
DNS,JON MINKEN,1494,,CAN,40-49,,Male,,
DNS,MICHAEL NORTON,1498,,NZL,50-59,,Male,,
DNS,BRITTANY PENNINGTON,1499,,NZL,40-49,,Female,,
DNS,NAOMI RAMSAY,1500,,AUS,40-49,,Female,,
DNS,HILLY SALMON KRONE,1504,,AUS,18-29,,Female,,
DNS,SCOTT SIMCOX,1509,,USA,30-39,,Male,,
DNS,JERROD SMITH,1511,,AUS,50-59,,Male,,
DNS,MIRIAM SMITH,1512,,USA,50-59,,Female,,
DNS,PRABA SUBRA,1513,,NZL,50-59,,Male,,
DNS,KYLIE WALKER,1517,,AUS,50-59,,Female,,
DNS,SIMONE WARD,1518,,AUS,40-49,,Female,,
DNS,MATTHEW WEBBER,1520,,GBR,30-39,,Male,,
DNS,ADRIAN WHATMORE,1521,,AUS,50-59,,Male,,
DNS,CAROLINE WOOD,1524,,AUS,50-59,,Female,,
DNS,CAROLYN WOOD,1525,,AUS,50-59,,Female,,
DNS,BEN WOOD,1526,,AUS,30-39,,Male,,
DNS,CLARE BARNFIELD,1528,,NZL,30-39,,Female,,
DNS,ELISE MARCON,1535,,AUS,18-29,,Female,,
DNS,MELISSA ROBINSON,1560,,AUS,40-49,,Female,,
DNS,EWAN GIBBS,1589,,NZL,18-29,,Male,,
DNS,GRACE MCINNES,1594,,NZL,18-29,,Female,,
DNF,CAT BRADLEY,37,,USA,30-39,,Female,,
DNF,MARK ASHCROFT,1005,,NZL,40-49,,Male,,
DNF,FELICIA BAEZA,1007,,USA,30-39,,Female,,
DNF,LUIS BAHAMONDE,1008,,CHL,40-49,,Male,,
DNF,CHRIS BYCROFT,1023,,NZL,50-59,,Male,,
DNF,OLIVER DIGGINS,1038,,AUS,30-39,,Male,,
DNF,ANDREW DONNELLY,1041,,NZL,40-49,,Male,,
DNF,RICHARD GOULD,1061,,GBR,50-59,,Male,,
DNF,MIKE HEYDON,1076,,NZL,40-49,,Male,,
DNF,FRASER HODGSON,1079,,NZL,40-49,,Male,,
DNF,JASON KAPA,1090,,NZL,50-59,,Male,,
DNF,PAUL KELLEHER,1555,,IRL,50-59,,Male,,
DNF,QINGBO LIU,1110,,CHN,40-49,,Male,,
DNF,DENISE LOWE-CARLUS,1113,,AUS,50-59,,Female,,
DNF,BARTOSZ MORAWIEC,1129,,NZL,40-49,,Male,,
DNF,GARETH MORRIS,1131,,NZL,40-49,,Male,,
DNF,AARON MORTON,1133,,NZL,40-49,,Male,,
DNF,DEBORAH NESTI,1137,,NZL,50-59,,Female,,
DNF,SALLY POTTS,1153,,AUS,40-49,,Female,,
DNF,MARTIN ROBINSON,1156,,NZL,40-49,,Male,,
DNF,KELLEY ROBINSON,1159,,NZL,50-59,,Female,,
DNF,GARRY ROGERS,1160,,AUS,60-69,,Male,,
DNF,JOANNE SAYLES,1164,,NZL,50-59,,Female,,
DNF,MICHAEL SIMONS,1169,,NZL,60-69,,Male,,
DNF,JONATHAN SIMPSON,1170,,NZL,50-59,,Male,,
DNF,XANTHE SPINDLER,1174,,AUS,30-39,,Female,,
DNF,ANDRE STOLK,1180,,ZAF,30-39,,Male,,
DNF,JASON TAIAPA,1184,,NZL,50-59,,Male,,
DNF,CHER TAN,1186,,SGP,40-49,,Female,,
DNF,SANDY WELTAN,1193,,ZAF,60-69,,Female,,
DNF,NICK WILLIAMS,1201,,NZL,50-59,,Male,,
DNF,DIANNA WORRELL,1210,,AUS,40-49,,Female,,
DNF,SEAWON YOON,1211,,NZL,40-49,,Male,,
DNF,AARON PORTER,1216,,IRL,40-49,,Male,,
DNF,HARSH BHOOPATKAR,1225,,NZL,40-49,,Male,,
DNF,TROY BROWN,1229,,NZL,40-49,,Male,,
DNF,GARY JORDAN,1257,,GBR,60-69,,Male,,
DNF,BRENT MARKWICK,1261,,NZL,40-49,,Male,,
DNF,JASMINE MNIJEL,1264,,NZL,30-39,,Female,,
DNF,CHRIS NASH,1267,,GBR,30-39,,Male,,
DNF,MICHAEL PALMER,1270,,AUS,30-39,,Male,,
DNF,RICHARD THOMAS,1280,,NZL,40-49,,Male,,
DNF,SARAH TWYFORD,1281,,AUS,18-29,,Female,,
DNF,CAM ABRAHAM,1286,,NZL,18-29,,Male,,
DNF,SIMON ANGUS,1290,,NZL,30-39,,Male,,
DNF,LISA BARRY,1295,,USA,60-69,,Female,,
DNF,IAIN BEST,1300,,AUS,30-39,,Male,,
DNF,CONNOR BROUGHTON,1305,,NZL,18-29,,Male,,
DNF,NEIL BURROW,1307,,NZL,60-69,,Male,,
DNF,FRASER CAMPBELL,1309,,NZL,18-29,,Male,,
DNF,ROSIE CAREY,1310,,ZAF,40-49,,Female,,
DNF,DAVID CONRADSON,1313,,NZL,50-59,,Male,,31:02:18
DNF,CONNOR EDWARDS,1321,,NZL,18-29,,Male,,
DNF,JAMES GOODWILL,1328,,NZL,40-49,,Male,,
DNF,GENEVIEVE HARRISON,1340,,USA,30-39,,Female,,
DNF,STEVE KENNARD,1352,,NZL,40-49,,Male,,
DNF,IAN LE QUESNE,1358,,NZL,50-59,,Male,,
DNF,LOUIE MINNETT,1366,,AUS,18-29,,Male,,
DNF,ERIC NEAL,1373,,USA,40-49,,Male,,
DNF,CLEMENCE ORY,1377,,FRA,30-39,,Female,,
DNF,JOHN PAINTING,1381,,USA,60-69,,Male,,
DNF,JORDAN PEAT,1387,,AUS,18-29,,Male,,
DNF,PENNY PURCELL,1392,,NZL,60-69,,Female,,
DNF,LINDA QUIRK,1393,,USA,70+,,Female,,
DNF,ROSIE ROCHESTER,1395,,NZL,40-49,,Female,,
DNF,AIDEN RUYSCH,1397,,NZL,40-49,,Male,,
DNF,TOM WATSON,1412,,NZL,30-39,,Male,,
DNF,PAUL WILLIAMS,1416,,AUS,40-49,,Male,,
DNF,RENTON YAP,1422,,SGP,40-49,,Male,,
DNF,TAKAAKI MATSUSHIMA,1423,,JPN,50-59,,Male,,
DNF,BRADLEY HOUGHTON,1433,,NZL,30-39,,Male,,
DNF,JEREMY RANKIN,1447,,AUS,40-49,,Male,,
DNF,MARTIN BARRIE,1456,,GBR,30-39,,Male,,
DNF,JAMES BOURNE,1464,,AUS,30-39,,Male,,
DNF,BRIAN DUGUID,1469,,GBR,60-69,,Male,,
DNF,MATTHEW FAIRBAIRN,1473,,AUS,30-39,,Male,,
DNF,MELANIE MACFARLANE,1489,,AUS,30-39,,Female,,
DNF,SHAUN ROLSTON,1503,,NZL,30-39,,Male,,
DNF,MATTHEW SHEPHEARD,1507,,AUS,30-39,,Male,,
DNF,JEFFERSON SILVA,1508,,BRA,30-39,,Male,,
DNF,ROBBIE WILLIAMS,1523,,GBR,30-39,,Male,,
DNF,ROBERT HENDERSON,1531,,NZL,70+,,Male,,
DNF,ADRIAN HENRY,1532,,NZL,60-69,,Male,,
DNF,TROY BURNS,1539,,AUS,40-49,,Male,,
