Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Split1,Split2,Club
77,Graeme Tindall,166,4:18:03,Male 45-49yrs,10,Male,69,1:57:46,2:20:16,
78,Sophie Lysaght,114,4:18:49,Female 30-34yrs,1,Female,9,2:03:41,2:15:08,
79,Fiona Hayes,86,4:19:53,Female 25-29yrs,2,Female,10,2:05:47,2:14:05,
80,Henrik Forsell,70,4:21:35,Male 45-49yrs,11,Male,70,1:56:20,2:25:14,
81,Troy Browne,45,4:21:35,Male 55-59yrs,6,Male,71,1:59:28,2:22:06,
82,Andrew Robins,142,4:22:10,Male 19-24yrs,15,Male,72,1:58:25,2:23:45,
83,Mignon Stevenson,156,4:22:33,Female 65-69yrs,1,Female,11,2:10:20,2:12:12,
84,Jason Gerritz,192,4:23:00,Male 40-44yrs,6,Male,73,2:02:15,2:20:44,
85,Darren Douglass,56,4:23:47,Male 50-54yrs,8,Male,74,1:59:07,2:24:39,
86,Catherine Quin,138,4:25:28,Female 45-49yrs,2,Female,12,2:04:17,2:21:11,
87,Gareth Davies,188,4:26:00,Male 35-39yrs,8,Male,75,1:50:59,2:35:01,
88,Mitcha Bentu,33,4:28:00,Male 25-29yrs,8,Male,76,2:03:40,2:24:20,
89,Bill Richardson,140,4:28:29,Male 65-69yrs,2,Male,77,2:12:52,2:15:37,
90,Dan Arnold,182,4:28:34,Male 35-39yrs,9,Male,78,1:44:29,2:44:05,
91,Michael Alfred Joshua Stowers,159,4:29:23,Male 50-54yrs,9,Male,79,2:08:46,2:20:36,Auckland YMCA Marathon Club
92,Jasmine Mnijel,125,4:30:06,Female 30-34yrs,2,Female,13,2:05:12,2:24:53,
