Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
217,ELIZABETH WOODGATE,15,15:33:38,AUS,50-59,7,Female,49
218,PAULA  ROWAN,1143,15:35:17,NZL,50-59,8,Female,50
219,MENG HAN HSIEH,584,15:36:51,HKG,30-39,57,Male,168
220,IAIN WESTPHALL,153,15:39:31,NZL,40-49,66,Male,169
221,ROGER COLQUHOUN,257,15:39:44,NZL,40-49,67,Male,170
222,TAKUHEI OHNO,448,15:40:21,JPN,30-39,58,Male,171
223,BEN LYTHE,420,15:42:39,NZL,40-49,68,Male,172
224,PATRICIO AYLWIN,159,15:42:50,AUS,40-49,69,Male,173
225,NOBUO KISHI,174,15:46:32,JPN,50-59,17,Male,174
226,JUN SAT,419,15:46:59,HKG,30-39,59,Male,175
227,LUKE HYSLOP,586,15:47:34,NZL,30-39,60,Male,176
228,TOMMY HA,490,15:48:10,,30-39,61,Male,177
229,STIRLING  GREENEKLEE,444,15:48:56,AUS,50-59,18,Male,178
230,RIC BARBER,442,15:49:20,NZL,30-39,62,Male,179
231,VERONICA FUJISAWA,277,15:49:31,,40-49,22,Female,51
232,GRAEME HILL,410,15:53:42,NZL,40-49,70,Male,180
233,SHELBY HYSLOP,180,15:54:16,NZL,20-29,6,Female,52
234,VIKTOR NORDBLOM,452,16:02:38,SWE,20-29,27,Male,181
235,SOPHIA KENNELLY,52,16:02:42,HKG,50-59,9,Female,53
236,DAVID LEONG,37,16:02:46,NZL,50-59,19,Male,182
237,HAMISH NEISH,450,16:02:57,AUS,30-39,63,Male,183
238,ZACH CHINNERY,282,16:12:05,AUS,30-39,64,Male,184
239,ANNE BABETT PAQUE,594,16:12:52,NZL,30-39,17,Female,54
240,MALCOLM SEWELL,200,16:13:22,NZL,60-69,5,Male,185
241,ENOCH VAHUA,336,16:15:35,NZL,40-49,71,Male,186
242,HEIDI FROMM,433,16:15:37,NZL,40-49,23,Female,55
243,DAVID TINLINE,156,16:15:37,NZL,30-39,65,Male,187
244,ASH PARI,510,16:15:50,NZL,20-29,28,Male,188
245,JOHN KILKELLY,484,16:16:27,AUS,50-59,20,Male,189
246,BRYONY SHAW,66,16:18:06,NZL,50-59,10,Female,56
247,KATE ASHER,388,16:18:20,NZL,20-29,7,Female,57
248,BRAD  SCHIMANSKI,387,16:18:21,NZL,20-29,29,Male,190
249,TATIANA SURAZHSKY,469,16:23:42,ISR,40-49,24,Female,58
250,JAMES SHEEHAN,222,16:23:52,NZL,30-39,66,Male,191
251,RICHARD NEWBURY,346,16:23:52,NZL,40-49,72,Male,192
252,JOHN MOLLOY,399,16:23:52,NZL,30-39,67,Male,193
253,LUKAS TRAVNICEK,244,16:23:57,NZL,40-49,73,Male,194
