Position,Name,Time,Category,Category Position
156th,Nav Bains,1:54:40,M 40-44,15th
157th,Geoffrey Davies,1:54:40,M 11-34,49th
158th,Lennard McLaughlin,1:54:49,M 40-44,16th
159th,Christopher Gardner,1:54:55,M 11-34,50th
160th,Tamati Newbitt,1:55:03,M 50-54,16th
161st,Gray Morrow,1:55:10,M 11-34,51st
162nd,Grant Thompson,1:55:17,M 45-49,10th
163rd,Tracey McKay,1:55:19,F 45-49,6th
164th,Liss Wallis,1:55:20,F 11-34,16th
165th,Charis Boos,1:55:23,F 35-39,8th
166th,Sarah Sinclair,1:55:35,F 40-44,4th
167th,Kelly Nagy,1:55:39,F 11-34,17th
168th,Sebastian Ramdhanie,1:55:40,M 11-34,52nd
169th,Ricky Brackfield,1:55:46,M 40-44,17th
170th,Tim De Beer,1:55:47,M 11-34,53rd
171st,Jeremy Tucker,1:55:47,M 11-34,54th
172nd,Natalie Heard,1:55:48,F 35-39,9th
173rd,Daniela Hernandez,1:55:57,F 35-39,10th
174th,Simon Aligny,1:56:00,M 11-34,55th
175th,Anthony Littlejohn,1:56:00,M 45-49,11th
176th,Scott Downs,1:56:00,M 45-49,12th
177th,Julie Morgan,1:56:02,F 50-54,4th
178th,Jonathan Reed,1:56:12,M 50-54,17th
179th,Brendon Hurihanganui,1:56:13,M 40-44,18th
180th,Nigel Couper,1:56:23,M 40-44,19th
181st,Richard Brown,1:56:25,M 40-44,20th
182nd,Michael Sun,1:56:27,M 11-34,56th
183rd,Inge Pestoor,1:56:27,F 11-34,18th
184th,Alexis Jouglin,1:56:36,M 11-34,57th
185th,Terry Packman,1:56:37,M 65-69,2nd
186th,Geoff Brown,1:56:43,M 55-59,9th
187th,Clarke Demchy,1:56:43,M 11-34,58th
188th,Quinn Robinson,1:57:07,F 11-34,19th
189th,Akira Ishino,1:57:07,M 50-54,18th
190th,Samara Eggers,1:57:08,F 11-34,20th
191st,Vicki Wood,1:57:13,F 45-49,7th
192nd,Colin Fearon,1:57:13,M 70-74,1st
193rd,Ben Baillie,1:57:18,M 35-39,19th
194th,Verchialyne sh Higgins,1:57:38,F 11-34,21st
195th,Victor Binkowski,1:57:50,M 35-39,20th
196th,George Chapman,1:57:58,M 40-44,21st
197th,Chris Scott,1:58:05,M 45-49,13th
198th,Ed Van Den Broek,1:58:06,M 50-54,19th
199th,Flossen Beans,1:58:13,F 40-44,5th
200th,Jiri Dolezalek,1:58:29,M 11-34,59th
201st,Richard Lake,1:58:36,M 60-64,6th
202nd,Kathryn Lydiard,1:58:38,F 11-34,22nd
203rd,Rachel Chester,1:58:40,F 11-34,23rd
204th,Nic Mills,1:58:42,M 11-34,60th
